2025,Institution,Country / Territory,Rank2025,institution_clean
201-250,Université Grenoble Alpes,France,225.5,universit grenoble alpes
201-250,University of Calgary,Canada,225.5,university of calgary
201-250,University of California. Davis,United States of America,225.5,university of california davis
201-250,University of California. Santa Barbara (UCSB),United States of America,225.5,university of california santa barbara ucsb
201-250,University of Chinese Academy of Sciences,China (Mainland),225.5,university of chinese academy of sciences
201-250,University of Electronic Science and Technology of China,China (Mainland),225.5,university of electronic science and technology of china
201-250,University of Groningen,Netherlands,225.5,university of groningen
201-250,University of Leeds,United Kingdom,225.5,university of leeds
201-250,University of Liverpool,United Kingdom,225.5,university of liverpool
201-250,University of Milan,Italy,225.5,university of milan
201-250,University of Minnesota Twin Cities,United States of America,225.5,university of minnesota twin cities
201-250,University of Southampton,United Kingdom,225.5,university of southampton
201-250,University of Trento,Italy,225.5,university of trento
201-250,University of Virginia,United States of America,225.5,university of virginia
201-250,University of York,United Kingdom,225.5,university of york
201-250,Uppsala University,Sweden,225.5,uppsala university
201-250,Warsaw University of Technology,Poland,225.5,warsaw university of technology
201-250,Waseda University,Japan,225.5,waseda university
251-300,American University of Beirut (AUB),Lebanon,275.5,american university of beirut aub
251-300,Anna University,India,275.5,anna university
251-300,Beijing Jiaotong University,China (Mainland),275.5,beijing jiaotong university
251-300,Beijing Normal University,China (Mainland),275.5,beijing normal university
251-300,Beijing University of Posts and Telecommunications,China (Mainland),275.5,beijing university of posts and telecommunications
251-300,Boğaziçi University,Türkiye,275.5,boazii university
251-300,Cardiff University,United Kingdom,275.5,cardiff university
251-300,Carleton University,Canada,275.5,carleton university
251-300,Charles University,Czechia,275.5,charles university
251-300,Concordia University,Canada,275.5,concordia university
251-300,Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,275.5,daegu gyeongbuk institute of science and technology dgist
251-300,Durham University,United Kingdom,275.5,durham university
251-300,Eberhard Karls Universität Tübingen,Germany,275.5,eberhard karls universitt tbingen
251-300,École Normale Supérieure de Lyon,France,275.5,cole normale suprieure de lyon
251-300,Graz University of Technology,Austria,275.5,graz university of technology
251-300,Grenoble INP. Grenoble Institute of Technology,France,275.5,grenoble inp grenoble institute of technology
251-300,Indian Institute of Technology Guwahati (IITG),India,275.5,indian institute of technology guwahati iitg
251-300,Keio University,Japan,275.5,keio university
251-300,Kyung Hee University,Republic of Korea,275.5,kyung hee university
251-300,Loughborough University,United Kingdom,275.5,loughborough university
251-300,McMaster University,Canada,275.5,mcmaster university
251-300,National and Kapodistrian University of Athens,Greece,275.5,national and kapodistrian university of athens
251-300,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,275.5,national taiwan university of science and technology taiwan tech
251-300,Queen's University Belfast,United Kingdom,275.5,queens university belfast
251-300,Renmin (People's) University of China,China (Mainland),275.5,renmin peoples university of china
251-300,Shanghai University,China (Mainland),275.5,shanghai university
251-300,Stockholm University,Sweden,275.5,stockholm university
251-300,Technische Universität Dresden,Germany,275.5,technische universitt dresden
251-300,The University of Newcastle. Australia (UON),Australia,275.5,the university of newcastle australia uon
251-300,The University of Western Australia,Australia,275.5,the university of western australia
251-300,Tohoku University,Japan,275.5,tohoku university
251-300,Tongji University,China (Mainland),275.5,tongji university
251-300,United Arab Emirates University,United Arab Emirates,275.5,united arab emirates university
251-300,Universidad Nacional de Colombia,Colombia,275.5,universidad nacional de colombia
251-300,Universidade Federal de Minas Gerais (UFMG),Brazil,275.5,universidade federal de minas gerais ufmg
251-300,Universität des Saarlandes,Germany,275.5,universitt des saarlandes
251-300,Universitat Politècnica de València,Spain,275.5,universitat politcnica de valncia
251-300,Universitat Pompeu Fabra (Barcelona),Spain,275.5,universitat pompeu fabra barcelona
251-300,Universite libre de Bruxelles,Belgium,275.5,universite libre de bruxelles
251-300,Universiti Putra Malaysia (UPM),Malaysia,275.5,universiti putra malaysia upm
251-300,University of Delhi,India,275.5,university of delhi
251-300,University of Lisbon,Portugal,275.5,university of lisbon
251-300,University of Ottawa,Canada,275.5,university of ottawa
251-300,University of Pittsburgh,United States of America,275.5,university of pittsburgh
251-300,University of Texas Dallas,United States of America,275.5,university of texas dallas
251-300,University of Twente,Netherlands,275.5,university of twente
251-300,University of Wollongong,Australia,275.5,university of wollongong
251-300,Victoria University of Wellington,New Zealand,275.5,victoria university of wellington
251-300,Western University,Canada,275.5,western university
251-300,Xiamen University,China (Mainland),275.5,xiamen university
301-350,Al Ain University,United Arab Emirates,325.5,al ain university
301-350,Albert-Ludwigs-Universitaet Freiburg,Germany,325.5,albertludwigsuniversitaet freiburg
301-350,American University of the Middle East,Kuwait,325.5,american university of the middle east
301-350,Aristotle University of Thessaloniki,Greece,325.5,aristotle university of thessaloniki
301-350,Bilkent University,Türkiye,325.5,bilkent university
301-350,Birla Institute of Technology and Science. Pilani,India,325.5,birla institute of technology and science pilani
301-350,Budapest University of Technology and Economics,Hungary,325.5,budapest university of technology and economics
301-350,Chandigarh University,India,325.5,chandigarh university
301-350,Dublin City University,Ireland,325.5,dublin city university
301-350,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,325.5,friedrichalexanderuniversitt erlangennrnberg
301-350,George Washington University,United States of America,325.5,george washington university
301-350,Griffith University,Australia,325.5,griffith university
