university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.40,165.0,,164.0,3.5
University of Chicago,Computer Science Masters,Accepted,S18,International,3.00,163.0,,168.0,3.5
USC,Computer Science Masters,Accepted,F15,International,3.60,167.0,,156.0,3.5
University of Michigan,Computer Science Masters,Accepted,F16,International,3.50,170.0,,160.0,4.0
Stanford University,Computer Science Masters,Accepted,F19,International,,,,,
Boston University,Computer Science Masters,Accepted,F15,International,,159.0,,148.0,3.5
University of Minnesota Twin Cities,Computer Science Masters,Accepted,F15,International,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Accepted,F19,International,,,,,
Park University,Computer Science Masters,Accepted,F15,International,3.94,168.0,,161.0,4.0
University of Southern California,Computer Science Masters,Accepted,F20,International,,,,,
Stevens Institute of Technology,Computer Science Masters,Accepted,F19,International,3.30,161.0,,145.0,4.0
"University at Buffalo, State University of New York",Computer Science and Engineering Masters,Accepted,F16,International,3.20,,,,
"University of California, Irvine",Computer Science Masters,Accepted,F19,International,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,,,,,,
Purdue University,Computer Science Masters,Accepted,F19,International,,165.0,,155.0,4.0
University of Oxford,Computer Science Masters,Accepted,F16,International,3.94,,,,
NYU Poly,Computer Science Masters,Accepted,F15,International,,,,,
University of Massachusetts Amherst,Computer Science Masters,Accepted,F17,,,320.0,,,
"University of California, Irvine",Computer Science Masters,Accepted,F15,International,,,,,
Columbia FFSEAS,Computer Science Masters,Accepted,F18,American,3.60,169.0,,164.0,4.5
Austin College,Computer Science Masters,Accepted,F15,American,,,,,
Austin College,Computer Science Masters,Accepted,F15,International,3.80,159.0,,166.0,4.0
University of Oxford,Computer Science Masters,Accepted,F15,International,3.72,,,,
San Diego State University,Computer Science Masters,Accepted,,International,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Accepted,F19,International,,,,,
Virginia Polytechnic Institute and State University,"Computer Science, Master Masters",Accepted,F16,International,,168.0,,165.0,5.0
Carnegie Mellon University,Computer Science Masters,Accepted,F15,International,,,,,
University of California,Computer Science Masters,Accepted,F16,International,4.00,167.0,,160.0,5.0
Carnegie Mellon University,Computer Science - Robotics Masters,Accepted,F18,International,3.98,170.0,,156.0,4.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,,3.91,,,,
Utah State University,Computer Science Masters,Accepted,F15,International,3.23,168.0,,159.0,3.5
North Carolina State University,Computer Science Masters,Accepted,F20,American,,,,,
Northeastern University,Computer Science Masters,Accepted,F16,International,,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,,166.0,,157.0,3.0
TAMU,Computer Science Masters,Accepted,F17,International,3.76,155.0,,161.0,4.0
New York University,Computer Science Masters,Accepted,F15,International,,,,,
University of California,Computer Science Masters,Accepted,F19,International,3.87,167.0,,159.0,4.5
Arizona State University,Computer Science Masters,Accepted,F19,International,3.40,166.0,,153.0,4.0
Stanford University,Computer Science Masters,Accepted,F19,,,,,,
University of Alberta,Computer Science Masters,Accepted,F19,International,3.50,,,,
UVa,Computer Science Masters,Accepted,F19,International,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Accepted,F19,International,,,,,
University of Toronto,Computer Science: MSc In Applied Computing Masters,Accepted,F17,International,,,,,
Brown University,Computer Science Masters,Accepted,F19,International,3.98,165.0,,165.0,4.5
Amherst College,Computer Science Masters,Accepted,F20,International,,169.0,,161.0,5.0
University of Maryland,Computer Science Masters,Accepted,F16,International,3.82,159.0,,170.0,4.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.40,169.0,,154.0,3.5
Stony Brook University,Computer Science Masters,Accepted,F15,International,,,,,
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science- Intelligent Robotics Masters,Accepted,F17,International,3.64,163.0,,155.0,3.5
University of Iowa,Computer Science Masters,Accepted,F16,International,3.95,,,,
University of Florida,Computer Science Masters,Accepted,F15,International,,,,,
Stanford University,Computer Science Masters,Accepted,F19,American,3.94,169.0,,158.0,4.5
Northwestern University,Computer Science Masters,Accepted,F15,International,,136.0,,161.0,2.5
Simon Fraser University,Computer Science Masters,Accepted,F16,International,,165.0,,151.0,3.5
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.33,166.0,,157.0,4.0
New York University,Computer Science Masters,Accepted,F19,,3.70,170.0,,162.0,3.5
University of California,Computer Science Masters,Accepted,F18,International,3.77,169.0,,155.0,3.5
Carnegie Mellon University,Computer Science (Machine Learning) Masters,Accepted,F16,International,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F19,,,,,,
University of California (UCLA),Computer Science Masters,Accepted,F19,American,3.62,165.0,,165.0,4.5
University of Arizona,Computer Science Masters,Accepted,F16,International,3.50,170.0,,160.0,4.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,,,,,,
Arizona State University,Computer Science Masters,Accepted,F16,International,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,American,,,,,
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,American,,,,,
University of California (UCLA),Computer Science Masters,Accepted,F15,International,,168.0,,158.0,4.0
University of Wisconsin,Computer Science Masters,Accepted,F16,International,3.79,163.0,,153.0,3.5
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.52,167.0,,158.0,4.0
Cornell University,Computer Science Masters,Accepted,F15,American,3.81,157.0,,163.0,4.0
Purdue University,Computer Science Masters,Accepted,F17,International,4.00,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F20,International,3.90,170.0,,160.0,4.5
University of Southern California,Computer Science Masters,Accepted,F16,,3.80,,,,
University of Illinois Urbana-Champaign,Computer Science (MCS) Masters,Accepted,F18,International,,,,,
Park University,Computer Science Masters,Accepted,F19,International,,170.0,,159.0,
University of California,Computer Science and Engineering Masters,Accepted,F15,American,3.52,169.0,,155.0,4.5
The University Of Toront,"Computer Science, Applied Computing Masters",Accepted,F18,International,3.60,,,,
Delft University of Technology,Computer Science- Data Science & Technology Track Masters,Accepted,F20,International,3.43,165.0,,154.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,American,3.77,161.0,,164.0,4.0
University of Alberta,Computer Science Masters,Accepted,F19,American,,,,,
Buffalo State University,Computer Science Engineering Masters,Accepted,F17,International,3.83,169.0,,146.0,3.0
University of Virginia,Computer Science Masters,Accepted,F15,International,3.75,170.0,,147.0,3.0
